"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 02:55:08 UTC 2025","Thu Jan 02 02:55:11 UTC 2025","2643","","org.example.playwright.toolshop.catalogue.SearchProductsTest","","org.example.playwright.toolshop.catalogue.SearchProductsTest","searchProductsThatDoNotExist","Search products that do not exist",""
"passed","Thu Jan 02 02:55:11 UTC 2025","Thu Jan 02 02:55:13 UTC 2025","2046","","org.example.playwright.toolshop.contact.FormTest.WhenInteractingWithTextFields","","org.example.playwright.toolshop.contact.FormTest$WhenInteractingWithTextFields","mandatoryFields","Mandatory Fields Test [3] fieldName=Email",""
"passed","Thu Jan 02 02:54:50 UTC 2025","Thu Jan 02 02:55:15 UTC 2025","24837","","org.example.playwright.toolshop.catalogue.AddToCartTest","","org.example.playwright.toolshop.catalogue.AddToCartTest","viewProductsAfterAddingMultipleItemsToCart","View products after add multiple items to cart",""
"passed","Thu Jan 02 02:54:50 UTC 2025","Thu Jan 02 02:55:08 UTC 2025","18069","","org.example.playwright.toolshop.catalogue.SearchProductsTest","","org.example.playwright.toolshop.catalogue.SearchProductsTest","clearSearch","Clear search products",""
"passed","Thu Jan 02 02:55:21 UTC 2025","Thu Jan 02 02:55:26 UTC 2025","4956","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly

  Sally is ab online shopper"
"passed","Thu Jan 02 02:55:21 UTC 2025","Thu Jan 02 02:55:26 UTC 2025","5012","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly

  Sally is ab online shopper"
"passed","Thu Jan 02 02:55:26 UTC 2025","Thu Jan 02 02:55:30 UTC 2025","4063","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly

  Sally is ab online shopper"
"failed","Thu Jan 02 02:55:21 UTC 2025","Thu Jan 02 02:55:28 UTC 2025","7230","","Product Catalog","","The one where Sally only wants to see Power Drills","","The one where Sally only wants to see Power Drills","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly

  Sally is ab online shopper"
"passed","Thu Jan 02 02:55:10 UTC 2025","Thu Jan 02 02:55:11 UTC 2025","1794","","org.example.playwright.toolshop.contact.FormTest.WhenInteractingWithTextFields","","org.example.playwright.toolshop.contact.FormTest$WhenInteractingWithTextFields","mandatoryFields","Mandatory Fields Test [2] fieldName=Last Name",""
"failed","Thu Jan 02 02:55:26 UTC 2025","Thu Jan 02 02:55:29 UTC 2025","3476","","Product Catalog","","The one where Sally searches for a more general term","","The one where Sally searches for a more general term","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly

  Sally is ab online shopper"
"failed","Thu Jan 02 02:55:28 UTC 2025","Thu Jan 02 02:55:32 UTC 2025","3602","","Product Catalog","","The one where Sally only wants to see Hand Saws","","The one where Sally only wants to see Hand Saws","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly

  Sally is ab online shopper"
"passed","Thu Jan 02 02:55:11 UTC 2025","Thu Jan 02 02:55:14 UTC 2025","2773","","org.example.playwright.toolshop.catalogue.SearchProductsTest","","org.example.playwright.toolshop.catalogue.SearchProductsTest","searchProducts","Search products By Keyword",""
"passed","Thu Jan 02 02:55:21 UTC 2025","Thu Jan 02 02:55:26 UTC 2025","5228","","Product Catalog","","The one where Sally searches for a product that doesn't exist","","The one where Sally searches for a product that doesn't exist","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly

  Sally is ab online shopper"
"passed","Thu Jan 02 02:55:26 UTC 2025","Thu Jan 02 02:55:30 UTC 2025","3804","","Product Catalog","","Sally sorts by different criteria","","Sally sorts by different criteria","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly

  Sally is ab online shopper"
"passed","Thu Jan 02 02:55:07 UTC 2025","Thu Jan 02 02:55:10 UTC 2025","2183","","org.example.playwright.toolshop.contact.FormTest.WhenInteractingWithTextFields","","org.example.playwright.toolshop.contact.FormTest$WhenInteractingWithTextFields","mandatoryFields","Mandatory Fields Test [1] fieldName=First Name",""
"passed","Thu Jan 02 02:54:50 UTC 2025","Thu Jan 02 02:55:07 UTC 2025","17011","","org.example.playwright.toolshop.contact.FormTest.WhenInteractingWithTextFields","","org.example.playwright.toolshop.contact.FormTest$WhenInteractingWithTextFields","completeForm","Complete the form",""
"passed","Thu Jan 02 02:55:15 UTC 2025","Thu Jan 02 02:55:20 UTC 2025","5068","","org.example.playwright.toolshop.catalogue.AddToCartTest","","org.example.playwright.toolshop.catalogue.AddToCartTest","viewProductsAfterAddToCart","View products after add to cart",""
"passed","Thu Jan 02 02:55:13 UTC 2025","Thu Jan 02 02:55:15 UTC 2025","1384","","org.example.playwright.toolshop.contact.FormTest.WhenInteractingWithTextFields","","org.example.playwright.toolshop.contact.FormTest$WhenInteractingWithTextFields","mandatoryFields","Mandatory Fields Test [4] fieldName=Message",""
"passed","Thu Jan 02 02:55:30 UTC 2025","Thu Jan 02 02:55:32 UTC 2025","2169","","Product Catalog","","The one where Sally searches for an Adjustable Wrench","","The one where Sally searches for an Adjustable Wrench","  As a customer,
  I want to easily search, filter, and sort products in the catalog
  So that I can find what I need quickly

  Sally is ab online shopper"
